date,page/account,is_comment,text,binary label,explanation,comments,link,,קבוצות לבדוק בהן: 
24/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,לא הייה חיסון לקורונה וגם לא יהייה....שטויות במיץ,0,,,,,https://www.facebook.com/groups/171810053014040/
26/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,ה Mrna גורם לתא בתוך השריר לייצר חלבון ספייק של קורונה ואז הגוף מייצר נוגדנים כלפי החלבון קורונה בגלל זה החיסון לא עובד טוב על כולם כי לא לכולם המערכת החיסונית עובדת כמו שצריך,1,,לבדוק,,,
26/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,זה לא חיסון אלא תכשיר נסיוני שלא מגן בכלום הכול עבודה בעניים כי חיסון חייב לעבור ניסויים כ10 שנים ולא כול 3 חודשים יוצא יענו חיסון חדש,0,,מתאים?,,,
26/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,זה לא חיסון הנגיף מעולם לא בודד הבדיקות שקריות אין קשר למיגור מגיפה הכל שקרים Wake up,0,,,,,
26/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,מעניין באמת. גם לדעתי יש קשר בן הסוג דם והנוגדנים שהוא מייצר בזמן מחלה או חיסון,1,,מתאים?,,,
25/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,no,למישהו יש מידע לגביי חולים קשה או מתים בנוגע מקורונה לסוג דם O או פלוס או מינוס סה נתון שלא מספרים לנו ייתכן שהם לא בסכנהנכמו ab ?,,,מתאים? ולבדוק,,,
02/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,"יש לך בעיה רצינית בהבנת הנושא - החיסון ( לא ניסוי לא ניסוי ) עבר בדיקות מחמירות של רשות הבריאות האמריקאית , וסתם קצת השכלה יא דבע - זאת הרשות הכי מחמירה בבדיקות של חיסונים ותרופות . אל לך תלמד קצת אהבל !! ליפני שאתה מביע דיעות ללא שום בסיס מדעי",1,,לבדוק,,,
02/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,הניסוי ( חיסון ) יכול לגרום לדלקת בשריר הלב ! ( לפי fda ופייזר ),0,,,https://www.facebook.com/groups/421434465970824/permalink/565424624905140/,,
02/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,הייתי עד לעדויות של אנשים שאני מכיר שמספרים שיקיריהם מתו לאחר החיסון הניסיוני ! אני עד לעדיות של קרובי משפחה שיש להם בעיות נרולוגיות ושיתוק לאחר ההזרקה . ,0,עדות לעדויות זה מידע שעבר בין כמה גורמים וכנראה בגלגול הנוכחי שלו אינו מהימן,,https://www.facebook.com/groups/421434465970824/permalink/565424624905140/,,
02/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,אזרחי מדינת ישראל משמשים לשפני ניסיון בתכשירים המוזרקים של פייזר .,0,"כן פייזר אוספים מידע על המתחסנים, אבל הניסוח מטעה",,https://www.facebook.com/groups/421434465970824/permalink/565424624905140/,,
02/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,שי עדיות של מחוסנים שנידבקים לאחר ההזרקת החומר של פייזר וחולים קשה ואף מתים לאחר מכן .,1,,טיפה ערכנו את הטענה כדי שתהיה נכונה,https://www.facebook.com/groups/421434465970824/permalink/565424624905140/,,
02/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,גם אם 100% יהיו מוזרקים לא יכול להיות חיסון עדר / כל חצי שנה צריך לחדש חיסון . אז שכל אחד יעשה את השיקול שלו .,1,,,https://www.facebook.com/groups/421434465970824/permalink/565424624905140/,,
02/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,יש מספר עובדות . 1. הניסוי ( חיסון ) יכול לגרום לדלקת בשריר הלב ! ( לפי fda ופייזר ) 2. הייתי עד לעדויות של אנשים שאני מכיר שמספרים שיקיריהם מתו לאחר החיסון הניסיוני ! 3. אני עד לעדיות של קרובי משפחה שיש להם בעיות נרולוגיות ושיתוק לאחר ההזרקה . 4. אזרחי מדינת ישראל משמשים לשפני ניסיון בתכשירים המוזרקים של פייזר . 5. שי המון עדיות של מחוסנים או משתתפי הניסוי שנידבקים לאחר ההזרקת החומר של פייזר וחולים קשה ואף מתים לאחר מכן . 6. גם אם 100% יהיו מוזרקים לא יכול להיות חיסון עדר / כל חצי שנה צריך לחדש חיסון . אז שכל אחד יעשה את השיקול שלו . ,,,"פיצלנו לכמה פוסטים שונים, בשורות שמעל. השארנו כאן את הפוסט המקורי, והתיוג נשאר נאל",https://www.facebook.com/groups/421434465970824/permalink/565424624905140/,,
02/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,"נראה לך שהרופאים יתנו תשובה אמתית???? ממש לא, הם מקבלים הוראות מלמעלה, גם אם הרופא ישר הוא חושש על מקום העבודה",0,,תיקנו שגיאת הקלדה,https://www.facebook.com/groups/421434465970824/permalink/565424624905140/,,
02/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,"אם את רוצה לתרום את גופך למדע אז תתחסני, אם את פחות בעניין של ניסויים אל תתחסני. אין עדיין מידע לגבי החיסון השלישי לכן לא יעזור לשאול.",0,,,https://www.facebook.com/groups/421434465970824/permalink/565424624905140/,,
02/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,"לפי מחקר קליני על ניתוחי גופות בסמוך לקבלת הזריקה, הנתונים לא מעודדים לקבל זריקה כלשהי הספייק חוצה את מחסום הדם-מוח, מגיע לאיברים שיש בהם את קולטן ה-ACE2 הוא מראה במצגת איך נראים איברים עם דלקת שנגרמה לאחר הזריקה.",0,,לבדוק. הוסיפ מקור: https://sites.google.com/view/itistimetorisup/%D7%94%D7%97%D7%99%D7%A1%D7%95%D7%9F-%D7%90%D7%A9%D7%9D-%D7%91%D7%AA%D7%95%D7%A4%D7%A2%D7%95%D7%AA-%D7%94%D7%9C%D7%95%D7%95%D7%90%D7%99-%D7%95%D7%94%D7%9E%D7%95%D7%95%D7%AA-%D7%A2%D7%93-%D7%A9%D7%99%D7%95%D7%9B%D7%97-%D7%90%D7%97%D7%A8%D7%AA-%D7%93%D7%A8-%D7%A8%D7%99%D7%90%D7%9F-%D7%A7%D7%95%D7%9C?authuser=0&fbclid=IwAR3mGUAsGFQdHZW7mNgKO8MQD1qtr133AfO7Qq9uycVtbbRbshaNu29E_-M,https://www.facebook.com/groups/421434465970824/permalink/565424624905140/,,
02/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,דר' זלנקו מעיד שליצמן פנה אליו בפרטי לקבל טיפול אלטרנטיבי. לעצמם הם דואגים. דר זלנקו מי שלא יודע רופא יהודי שטיפל בקורונה שטרמפ חטף,,,לבדוק,,,
02/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,מתי יבינו שבסופו של דבר אם המצב ימשיך כך עם החיסונים יהיה דילול אוכלוסיה הם לא רוצים אנשים חיים,0,,לבדוק,,,
22/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,"מגיפה זו מחלה של אוכלוסיה ועל מנת לרפא את האוכלוסיה יש לחסן את כל הפרטים בה. יש לזה חשיבות אדירה במניעה של יצירת וואריאנטים. ישנם 2 מקורות לוואריאנטים. המקור הבעייתי יותר הוא אנשים עם כשל חיסוני אשר לא מפתחים חיסוניות למרות שמחוסנים. אצלהם הווירוס יכול להסתובב בגוף חודשים שכן בגלל הכשל החיסוני הם לא מחוסנים, לא מבריאים, למפתחים מחלה קשה ולא עוצרים וואריאנטים, שכן פעולות אלו תלויות במערכת חיסון בריאה. חלקם יתפתחו אצל לא מחוסנים, גם אם יחלו במחלה אסימפטומטית. לכן, חשוב שכולם יתחסנו זו הדרך היחידה לרפא את האוכלוסיה.",1,,,https://www.facebook.com/groups/421434465970824/permalink/577815936999342/,,
22/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,"נכון לא נכון, חרטט בביטחון תקרא קצת את ההמלצות של גירט ואנדן בוש, מומחה חיסונים עולמי. בקצרה- חיסון במצב של מגיפה יוצר וריאנטים ומסכן את כולם",0,"לא נכון, מקור שמסביר זאת: https://www.science.org/content/blog-post/vaccines-will-not-produce-worse-variants",,https://www.facebook.com/groups/421434465970824/permalink/577815936999342/,,
22/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,"אכן, מגיפה מחלה של אוכלוסיות ולא אנשים וצריך יהיה לחסן את העולם. לשימחתינו בינתיים הוואריאנטים שבישראל לא פרצו את החיסון והם רגישים אליו בהנתן חיסוניות (בעקבות הבוסטר) מבחינת ישראל, כל מנת חיסון בעולם מפחיתה את הסיכוי לוואריאנטים. כמו וואריאנט אלפא. כל מנת חיסון בישראל מפחיתה נכון להיום את רמת התחלואה בארץ.",1,,לבדוק,https://www.facebook.com/groups/421434465970824/permalink/577815936999342/,,
24/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,"דום לב, התקפי לב ושבץ אינם תופעות לוואי של החיסון. לכל היותר אתה יכול להכריז כי לפי נתונים לא רשמיים שאספת לפחות 4,000 איש בישראל קבלו אירוע לב.",1,,לבדוק. מצרף מקור: https://www.cdc.gov/vaccinesafety/ensuringsafety/monitoring/vaers/index.html?fbclid=IwAR14WEYjsbFQ7HKyjvs3wlqSW4YNoApgd29IO1snrnXOstFOf65wRPBloLk,,,
19/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,"יש דחף ואינטרס כלכלי מצד גורמים עוינים לשנות את מספר המתים לטובת קורונה
וזה מוכח",0,,,,,
20/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,"220 אלף על כל אחד שנרשם שנפטר מקורונה. תראו מה הסיכויים להיפגע מהחיסון במדינה שאשכרה עוקבת אחרי הנזקים (ארה""ב), לא כמו בישראל שמטייחים וראש הממשלה משקר לגביהם. https://openvaers.com/covid-data יש שם טבלה שמראה על דיווחי מוות של אנשים בריאים בסמוך לחיסון. כל השנים זה על המינימום וב-2020/21 זה קופץ לשמיים... זה בגלל ה""חיסון"" לקורונה שעובד בשיטה שאף חיסון עד היום לא עבד בה, שיטה נסיונית שעד היום השתמשו בה רק על חיות וגם החיות מתו... אני לא ממציא, תחקרו קצת על mrna vaccines אבל אל תכנסו ללינקים הראשונים שממומנים על ידי חברות התרופות אם לא נפגעים אחרי שלוש זריקות אז הבוסטר הרביעי, חמישי יעשה זאת... ולמרות שאין מעקב מסודר בישראל, יש את הקבוצה הזאת https://www.facebook.com/groups/242682556373559/?ref=share אם מעניינת אתכם האמת... הכל עדויות מקור ראשון של הנפגעים עצמם או קרוביהם ויש בלא מעט מקרים גם תמונות",0,,בתגובה לשאלה כמה בתי חולים מקבלים על כל נפטר קורונה,,,
20/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,"ברור, 220 אלף על כל נפטר ""קורונהה""",,,"אולי ציני, בעייתי",,,
20/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,"שתפו לקרובים לכם על תופעות לוואי של החיסון, בבדיקת די-דימר שביצע ד""ר הופה במטופלים המחוסנים שלו זיהה באופן מטריד כי 62% מהם סובלים מקרישי דם מיקרוסקופיים. מה שזה אומר הוא: ‫שקרישי הדם הללו אינם נדירים. ‫זה אומר שלרוב האנשים נוצרים קרישי דם ‫‫ושאין להם אפילו מושג שיש להם אותם. מה שהמדאיג ביותר בנוגע לזה, ‫זה שיש כמה חלקים בגוף ‫כמו הלב, המוח, חוט השדרה והריאות שלא יכולים להתחדש. ‫כאשר הרקמות הללו ‫נפגעות מכלי דם חסומים ‫הם ניזוקים לצמיתות.",,,לבדוק. מקור: https://healthybreathing.co.il/blood-clots/,,,
20/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,יולדת זה בערך 10 אלף והיא יוצאת חיה + אז על מת ממגפה דמיונית בטח יותר,0,,,,,
19/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,חחחחח הם לא ירגעו עד שירעילו את כולכם על איזה תו אתה מדבר,0,,,,,
29/08/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,זה אותו החיסון בדיוק כמו הראשון. כך שכולם משקרים!!!,,,"תיקנו ""מעקרים"" ל""משקרים"". לבדוק אם מדובר בדיוק באותו החיסון",https://www.facebook.com/groups/421434465970824/permalink/557891532325116/,,
05/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,"ד""ר שון ברוקס הוא פותח ואומר כי ‫ד""ר רוברט מאלון זה שיצר את ‫חיסון שליח ה-RNA אמר: ש‫אף אחד לא צריך לקחת ‫את הזריקות הללו אי-פעם, ‫בכל מצב שהוא. עוד אמר ד""ר מאלון כי לעולם אל תעשו זאת! שתפו והעבירו ברשת -",,,מקור: https://bit.ly/3AZr4oY,https://www.facebook.com/groups/421434465970824/permalink/557891532325116/,,
05/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,נכון לעכשיו ידוע יותר על פגיעות בעוברים של נשים הרות שחלו בקורונה ולא היו מחוסנות. עד למקרה קיצוני שהיה השבוע מות עובר בחודש התשיעי ברחמה של חולת קורונה,1,,לבדוק,https://www.facebook.com/groups/421434465970824/permalink/557891532325116/,,
06/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,כשיש נימלול לאחר חיסון מעיד על תופעת לוואי שקורית מקרישיות בדם,,,מקור: https://bit.ly/3ADjIID,https://www.facebook.com/groups/421434465970824/permalink/567997074647895/,,
05/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,"משרד הבריאות לא רוצים לעורר בהלה ולגרום לאנשים להמנע מלהתחסן, ולכן מסתירים את נזקי החיסון לאוכלוסיות רבות באוכלוסייה כמו חולי לב,בעלי מערכת חיסון חלשה ומחלות גנטיות רדומות, שהחיסון עבורם עלול להיות קטלני, ולעורר מחלות רדומות וקטלניות.",1,"לא ידוע בוודאות אם משרד הבריאות מסתיר, אבל הפוסט נכון מבחינה של אוכלוסיות שהחיסון עלול להזיק להן, ומשרד הבריאות הפיץ רשימה של האוכלוסיות הללו.",,https://www.facebook.com/groups/421434465970824/permalink/561627551951514/,,
05/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,לפני החיסון הראשון היתה החרגה של כל סוג של אלרגיה המצריכה שימוש המזרק אפיפן. מאז זה שונה רק לאלרגיות לחומרים המצויים החיסון עצמו.,1,,"מקורות: https://www.cdc.gov/coronavirus/2019-ncov/vaccines/recommendations/specific-groups/allergies.html?fbclid=IwAR3nWA18JyZjov1P_MZ6JDTGeH5iqoDxxa1xWxUhGKa5ZCjPBFv1yXhv--Y
     https://www.clalit.co.il/he/your_health/family/Pages/who_cant_vaccinate.aspx?fbclid=IwAR2ngH9yUX5MAmrLBFf42dwuqBAFf8s4myOdBna6_zg7O83x6WgIKmYVdwc",https://www.facebook.com/groups/421434465970824/permalink/561627551951514/,,
11/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,"טינטון היא תופעת לוואי אפשרית של החיסון, זו הסיבה שאני לא מתחסן.",0,,,https://www.facebook.com/groups/421434465970824/permalink/571424844305118/,,
12/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,"אל דאגה, התופעה ידועה ומוכרת... כ15 אחוז מהמתחסנים מתחדשים בנפיחות בלימפות. שלושה עד שבעה ימים זה יחלןף",0,,,https://www.facebook.com/groups/421434465970824/permalink/571009401013329/,,
12/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,חבל כל חיסון מגביר את הסיכוי להידבק עוד הפעם,0,,,https://www.facebook.com/groups/421434465970824/permalink/570220344425568/,,
12/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,"במקרה ונדבקת, החיסון אמור להגן עליך ממחלה קשה. הוא לא אמור למנוע ממך להידבק או להדביק.",1,,,https://www.facebook.com/groups/421434465970824/permalink/570220344425568/,,
12/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,אל תתחסנו זה רעל איטי,0,,,https://www.facebook.com/groups/421434465970824/permalink/570220344425568/,,
12/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,"טוב גם המסכה עוזרת, אבל לא יותר מדי, ויש תופעות לווי קשות ממנה. אני שמחה שיש לי פטור. עדיין לא נדבקתי ולא הדבקתי למזלי. אין אף הוכחה מדעית שמסכה מונעת הדבקות. אני שומרת מרחק, משתדלת להיות במקומות עם חלונות פתוחים (חובה) ולשמור על בריאות ומערכת החיסון תקינים ככל שאפשר. זה באמת מונע הכי טוב",0,"הוכחה מדעית - 
https://davidson.weizmann.ac.il/online/askexpert/%D7%94%D7%90%D7%9D-%D7%9E%D7%A1%D7%9B%D7%95%D7%AA-%D7%94%D7%A4%D7%A0%D7%99%D7%9D-%D7%9E%D7%92%D7%99%D7%A0%D7%95%D7%AA-%D7%9E%D7%A0%D7%92%D7%99%D7%A3-%D7%94%D7%A7%D7%95%D7%A8%D7%95%D7%A0%D7%94",לבדוק,https://www.facebook.com/groups/421434465970824/permalink/570220344425568/,,
12/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,שתדעי שמעתי שיש גם סוגי דם שסוג מסוים לא נדבק וכאילו שיש קשר . צריך תזונה נכונה וויטמין די ועוד ...,0,,,https://www.facebook.com/groups/421434465970824/permalink/570220344425568/,,
12/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,"נדבקת לא למרות החיסונים אלא, בגלל ובעקבות החיסונים!! החיסונים עצמם מביאים את המחלה לאנשים בריאים. אותה ועוד שלל מחלות נוספות כתוספת לוואי",0,,,https://www.facebook.com/groups/421434465970824/permalink/570220344425568/,,
12/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,ברור שלא 2 לא עזרו השלישי יקלקל בכל מיקרה החיסונים לא שווים כלום ואת התופעות לוואי מסתירים,0,,,https://www.facebook.com/groups/421434465970824/permalink/570220344425568/,,
26/09/2021,וירוס קורונה - מדברים על הכל,yes,החלטת הfda אינה תופסת מחוץ לארצות הברית. כל מדינה יכולה להחליט כראות עיניה. גם בישראל יש מומחים מצויינים.,1,,,https://www.facebook.com/groups/503350980581730/permalink/889999248583566/,,
26/09/2021,וירוס קורונה - מדברים על הכל,yes,"ככלל אין מניעה לקבל את שני החיסונים יחד, אך משרד הבריאות החליט על הפרש של 7 ימים בין החיסונים, כדי שהצוותים הרפואיים יוכלו לעקוב אחר המתחסנים ולנטר תופעות לוואי.",0,שווה לבדוק בכל זאת עם מומחה,"לבדוק. מדובר על חיסון שפעת, אחרי קבלת החיסון השלישי",https://www.facebook.com/groups/503350980581730/permalink/889954121921412/,,
02/10/2021,נפגעי חיסונים - גם לנו זה קרה (עדויות מצולמות),yes,"לשתות עלי מורינגה, מחזק מערכת החיסון ומלא ויטמינים במינון גבוה",0,"https://he.wikipedia.org/wiki/%D7%9E%D7%95%D7%A8%D7%99%D7%A0%D7%92%D7%94_%D7%9E%D7%9B%D7%95%D7%A0%D7%A4%D7%AA#%D7%A9%D7%99%D7%9E%D7%95%D7%A9%D7%99%D7%9D_%D7%91%D7%A8%D7%A4%D7%95%D7%90%D7%94_%D7%94%D7%A2%D7%9E%D7%9E%D7%99%D7%AA_%D7%95%D7%94%D7%97%D7%9C%D7%95%D7%A4%D7%99%D7%AA,_%D7%95%D7%91%D7%99%D7%A7%D7%95%D7%A8%D7%AA",,https://www.facebook.com/groups/242682556373559/permalink/888237565151385/,,
03/10/2021,נפגעי חיסונים - גם לנו זה קרה (עדויות מצולמות),yes,החיסון הזה זו עבודת אלילים. ומי את שתטילי ספק באל החיסון?,0,,,https://www.facebook.com/groups/242682556373559/permalink/888577828450692/,,
02/10/2021,נפגעי חיסונים - גם לנו זה קרה (עדויות מצולמות),yes,"אם היתה לך תגובה בעייתית אחרי החיסון השני, יש סיכוי שתיפגע יותר אחרי השלישי.",,,חלק מתגובה,https://www.facebook.com/groups/242682556373559/permalink/888325031809305/,,
02/10/2021,נפגעי חיסונים - גם לנו זה קרה (עדויות מצולמות),yes,"אם אתה כן מחליט לקחת זריקה- חפש בשוק, יש מוצרים שיכולים להפחית משמעותית תופעות לוואי וכדאי לבדוק ולנסות למזער את הנזקים.",1,,חלק מאותה תגובה,https://www.facebook.com/groups/242682556373559/permalink/888325031809305/,,
02/10/2021,נפגעי חיסונים - גם לנו זה קרה (עדויות מצולמות),yes,ידוע לא מעט על פגיעה בבלוטת התריס ובלוטות הלימפה שליד מיד אחרי החיסון הראשון או השני,1,"בלוטת התריס לא - https://wikirefua.org.il/w/index.php/%D7%91%D7%9C%D7%95%D7%98%D7%AA_%D7%94%D7%AA%D7%A8%D7%99%D7%A1_%D7%95%D7%95%D7%99%D7%A8%D7%95%D7%A1_%D7%94%D7%A7%D7%95%D7%A8%D7%95%D7%A0%D7%94_-_Thyroid_disease_and_the_coronavirus
בלוטת הלימפה כן - 
https://www.haaretz.co.il/health/corona/coronavaccine/.premium-1.9589179",חלק מתגובה,https://www.facebook.com/groups/242682556373559/permalink/888325031809305/,,
02/10/2021,נפגעי חיסונים - גם לנו זה קרה (עדויות מצולמות),yes,"אתה תמות , חמוד, צר לי. תקח שלישי - תקרב עוד יותר את המוות, לא תקח - עוד כמה שנים יש לך (אולי).",0,,,https://www.facebook.com/groups/242682556373559/permalink/888325031809305/,,
03/10/2021,נפגעי חיסונים - גם לנו זה קרה (עדויות מצולמות),yes,"התו הירוק בקרוב יבוטל. ואתה תישאר עם תופעות לוואי עד סוף ימיך, אולי תהפוך לשבר כלי כמו רבים אחרים שזה קרה להם. תיקח נשימה עמוקה ותמתין. הבריאות זה המשאב בכי יקר שלך אל תזלזל בו.",0,,,https://www.facebook.com/groups/242682556373559/permalink/888325031809305/,,
02/10/2021,נפגעי חיסונים - גם לנו זה קרה (עדויות מצולמות),yes,תתחסן ותהיה מוכן לתוצאות. אם חלילה הבלוטה מתנפחת יש צמחים לניקוי הלימפה. אם חלילה מדובר בגידול סרטני תנסה להשיג חומר שנקרא פנבנדזול fenbendazole מארהב ותקח אותו במיידית לתקופה רצופה של 3-6 חודשים. זה מונע התפתחות של תאים סרטנים ויגן על מערכת הלימפה. אם חלילה זה יקרה יהיה לך קל יותר לקבל אישור להמנע מהחיסונים הבאים אבל מאחלת לך שלא תצטרך מהסיבה הזאת,,,לבדוק,https://www.facebook.com/groups/242682556373559/permalink/888325031809305/,,
03/10/2021,נפגעי חיסונים - גם לנו זה קרה (עדויות מצולמות),yes,"לטיפול בתאים סרטניים (לא עלינו) תירס…. שן הארי, בורדוק (לפה), ברבריס, גדילן, דבקה זיפנית.",0,,שילוב של שתי תגובות של אותו אדם,https://www.facebook.com/groups/242682556373559/permalink/888325031809305/,,
03/10/2021,נפגעי חיסונים - גם לנו זה קרה (עדויות מצולמות),yes,"ממליצה לגשת להומיאופת קלאסי. להומיאופתיה יש הרבה ניסיון טיפולי בנזקי חיסונים. אתה מוזמן להיכנס לאתר האגודה ולמצוא הומיאופת לפי איזור מגוריך. https://www.homeopathy-israel.co.il/  אפשר גם לפנות לקו חם של הומיאופתים שמטפלים בנזקים אחרי חיסוני קורונה מאז ינואר 2021 ויש להם לא מעט ניסיון בזה , דרך הקישור הזה: https://homeohelp.co.il/ בהצלחה! ",,,,https://www.facebook.com/groups/242682556373559/permalink/888325031809305/,,
03/10/2021,נפגעי חיסונים - גם לנו זה קרה (עדויות מצולמות),yes,ירידה קלה בחולים הקשים כי רובם מתו. עוד מעת לא יהיו חולים קשה,0,,,https://www.facebook.com/groups/242682556373559/permalink/888325031809305/,,
02/10/2021,נפגעי חיסונים - גם לנו זה קרה (עדויות מצולמות),yes,לעשות ניקוי רעלים אינטנסיבי אצל הומופאטית ושטית תה מחטי אורן ינקה את הזיהום,,,,https://www.facebook.com/groups/242682556373559/permalink/888325031809305/,,
03/10/2021,נפגעי חיסונים - גם לנו זה קרה (עדויות מצולמות),yes,הרי יש קבוצות רופאים שבמפורש אמרו שהחיסון הזה כנירא מעיר מחלות כרוניות . הבעיה היא לא בבולוטות שלך שצריך לטפל בהם הבעיה היא בחיסון שמעיר משהו כרוני,0,יש לבדוק עם מומחה,חלק מתגובה,https://www.facebook.com/groups/242682556373559/permalink/888325031809305/,,
