date,page,is_comment,text,binary label,comment
18/09/2021,?????? ?????? ??????? ????? ???? ???,no,????? ????? ??fda ?? ????? ?? ??? ????? ?????? ??????? ?? ???? ????! ?? ??? ?????? ???? ??? ?????? ????? ??? ??? ????? ???????? ????? ????? ????? ????? ??? ?? ??? ????? ???? ?? ?????? ??? ?????? ?? ??? ??? ?????? ?????? ?? ?????? ??? ????? ??? 16 ??????,,
18/09/2021,?????? ?????? ??????? ????? ???? ???,yes,"????? ??? ????? ??? ???? ????? ???? ?? ??????? ??? ????? ???? ??????? ????, ?????? ?? ?????? ????? ????. ????""? ?? ???? ???? ??????? ???? ?????? ???? ???? ????? 5 ??????, ???? ?????????? ?? ?? ????????? ?? ????? ????""? ?????. ???? ?????? ?????.",1,
18/09/2021,?????? ?????? ??????? ????? ???? ???,yes,"?????? ?????? ?? ???? ?????? ???? ??????!! ?????? ?? ???? ???? ?? ??????? ??? ?? ???? ????!!! ?? ????? ?? ?? ??????? ??? ???? ????? ????? ????? ??????? ??? ?? ????? ????? ?????!!! ???? ??????!!!
????? ????? ?????? ??? ????? ?????? ?????? ????? ?? ?? ??? ?????? ??? ???? ?? ???? ???????!! ???? ??? ????? - ?????!!! ?? ?? ???? ????? ????? ??!! ?? ????? ?? ??? ? FDA ???????? ?? ?? ????!! ?????? ?? ????? ??? ?? ????? ??????? ????!! ???? ???????",0,
18/09/2021,?????? ?????? ??????? ????? ???? ???,yes,"????? ???? ???????. ?? ??? ?? ????, ???? ????? ??? ??? ???? ?? ?????? ?? ????????? ",,
18/09/2021,?????? ?????? ??????? ????? ???? ???,yes,??? ?? ??? ?? ???? ?? ?????? ??????. ???? ???? 65 ?????. ?? ????? ????? ????? ?????? ????? ????? ?? ??????? ?????? ????. ??????? ?????? ?? ???? ???? ??? ????? ????. ??? ??? ????? ?? ???? ??????? ??????? ?????? ?????. ??????? ?? ??? ?? ????? ?? ?? ?? ??? ???? ????,1,
18/09/2021,?????? ?????? ??????? ????? ???? ???,yes,???. ??? ?????? ???? ????? ?? ?? ?? FDA ????. ?????? ?????? ????? ???? ???? 65+ ???? ??????? ??????? ?????? ???. ????? ????? ?? ??? ???? ??????? ??????? ????? ??? ??????? ????? ????? ???? ????? ?? FDA? ???? ??? ????? ??? ?????? ??? ??? ?? ???? ????? ???? ?????. ???? ??????. ?? ??????. ????? ??? ????!!!,,
18/09/2021,?????? ?????? ??????? ????? ???? ???,yes,"???? ????? ???? . ???? 10000 ??????? ???? . ???? ????? ?????? ?????? ??????? , ?? ?????? ?? ?????? ????. ???? ?????? ????? ?????? ??? ????? , ??? ???? ?? ????? ????? ??? . ????? ??? ??? ????? ???? ???? ?????? . ??? ???? ??????? ??? ?? ??? ???? ??????? ?????? ?? ??????? ???? ??? ??? ?? ??? ???? ?? ???? ???????? ????? ????? ?? ?????? ???? ????? ??? ???? ??? ???? ?????? ??????. ???? ????? ?? ??????? ?? ???. ???? ????? ??? ?? ?? ????? . ?? ?? ?????? ???? ??? ??????? ??? ??? ????? ????? ??? ???? ????????. ?? ??? ???? ???? ????? ?????? . ??? ???? ????. ????? ??? ???? ????? ??? ?? ??? ???? ?? ?????? ?????? ?????? ??? ???? ??????? ???. ???? ?????.",,
18/09/2021,?????? ?????? ??????? ????? ???? ???,yes,????? ????? ??? ??? ????? ?? ?????? ???????. ????? ? - FDA ????? ?? ?????? ??????. ???? ???? ?????. ??? ??? ???? ???????. ???? ??? ???? ???? ,0,
18/09/2021,?????? ?????? ??????? ????? ???? ???,yes,"?? ?????!!! ????? ??? ?????? ??? ???? ??????. ????? ??????? ?? ??? ?????? - ? FDA ???? ????? ?????, ?? ???? ???? ????? ????.",0,
18/09/2021,?????? ?????? ??????? ????? ???? ???,yes,"?????? ??????? ? FDA ????? ???? ???? ?????? ? 70 ???? ?????????? ??????? ?? ????????, ??????? ?????? ??? ???? ???? ???? (???? ??????????) ?????? ????? ??? ?????? ????? ??????. ?????? ???? ?? ????? ?????? ?????? ????? ?????? ????? ??????. 70 ???? ?? ???? ????? ????????? ?????? ?? ??? ???????? ????????. ?????? ?? ???? ??? ????? ??????, ?? ????? ????? ?? ????? ????? ???? ?????? ?????. ?????? ?????? ?????? ?????? ??? ??. ??? ???? ?????? ????? ???? ?? ????.",,
18/09/2021,?????? ?????? ??????? ????? ???? ???,yes,"??? ????. ???? ?????? ????? ????, ?????? ????? ???, ?? ????? ????? ???? ?? ????? ????? ????? ?? ?? ?? ???? ?????? ?? ????? ???? ???? ?? ?????? ?????.????? ???? ??",0,
18/09/2021,?????? ?????? ??????? ????? ???? ???,no,"?????? ???? ????? ???? ??????, ?????? ???? ???? ????? ????? ???????.",1,????? ???? ????? ??? ????? ???????? ?????
18/09/2021,?????? ?????? ??????? ????? ???? ???,yes,"??? ???? ??? ?????? ??? 6 ????. ???? ??? ??????? ???? ??? ?? ????, ??????, ????? ?????? ??????. ?????? ????? ?????? ?? ????",1,????? ???? ????? ??? ????? ???????? ?????
13/09/2021,?????? ?????? ??????? ????? ???? ???,no,???? ???????? ????? ???????? ??????? ??????,0,"???? ??? ????? ????, ???? ????"
17/09/2021,?????? ?????? ??????? ????? ???? ???,no,?????????? ???????? ????? ???? ?????? ????? ?????? ???? ??? ?? ??? ???? ????? ????? ????? ???? ???? ??? ?????? ?????? ??? ???? ????? ????? ?? ????? ?????. ?? ????? ????? ??? ????? ???? ??????? ?????????? ???? ????? ???? ???? ???? ????? ???? ????? ????? ??? ?????? ?????? ?? ???? ????? ??? ????? ?? ???? ?????? ???? ??? ?????? ??? ????? ?????? ????? ???? ????????? ?? ??????!!! ??????? ??????? ????? ??? ???? ??????? ??? ??????? ?? ????? ?? ????? ???? ????? ?????? ??? ????? ?? ???? ?? ?????? ?? ?????,,????? ?? ??? ?? ????? ???? ??????? (??? ???? ???? ????? ????? ?? ?? ???????)
18/09/2021,?????? ?????? ??????? ????? ???? ???,yes,??????? ???? ?????? ?????? ???????? ?? ???? ???? ??????.,,?? ???? ????? ?? ??????
31/08/2021,?????? ?????? ??????? ????? ???? ???,yes,"?? ????? ????? ???????. ?? ????? ??????? ???? ??? ????, ???? ???? ???? ?????. ????? ???? ??????? ?????? ??????, ??????? 1.5 ?????? ???? ???????. ",,?????!
31/08/2021,?????? ?????? ??????? ????? ???? ???,yes,"???, ??? ???? ???? ?? ???. ???? ?? ???? ???? ??????? ?????? ??? ????. ??? ?? ?????. ????? ?????? ????? ?????- ???? ?? ????? ??? ?????? ???? ?? ??? ?????? ???, ???? ?????? ??????( ?? ??? ??? ?? ????? ????, ????? ???? ??? ??? ?? ???? ?? ???? ???? ???? ????? ?????? ?? ?? ??????? ?? ??...)",1,"???? ?? ????, ?? ?????"
31/08/2021,?????? ?????? ??????? ????? ???? ???,yes,??? ?? ????? ???? ???? ???? ??????. ???? ??? ????? ????????? ?? ???? ????? ????? ?? ??? ???????? ???????? ???? ????? ?????? ????? ?? ?? ??? ????. ?? ?? ?????? ?????? ????? ?????? ??? ??????? ?? ???? ????? ??? ????? ????. ?? ????? ??? ?????? ????? ????? ?????? ??? ??????? ????? ???? ?????. ??? ??? ?? ????? ???? ???????? ??? ???? ???????? ????? ?? ?? ???? ??????????? ????? ????? ????? ?????? ??? ??? ????? ?? ????? ?????,1,
31/08/2021,?????? ?????? ??????? ????? ???? ???,yes,"??????? ??? ??? ???? ??????? ???? ?25% ?????? ??? ????? ???????. ?? ????? ?? ?? 25% ? ??????? ???""? ???? ??? ??/????? ?? ??? ?83% !! ?? ???? ???? ???? ?????? ?? ?????? ????? ?????? ??????? ????? ?????? ??????? ???????, ?? ???? ?????? ?????? ????? ???, ??? ?? ??????. ????? 0.2% ???? ???? ????? ??????? ?????? ??'??????'. ?? ????. ???? ?? ??????. ?? ????? ??? ???? ?????? ?????? ????? ???? ?? ????? ?? ? ?? ???? ????? ??? ? ?? ????? ?? ? ?? ????? ???? ? ?? ????? ?? ??????? ? ?? ??????? ? ?? ????? ????? ??????? ??? ? ????? ?? ?? ???? ?? ??. ??? ?????? ? ??? ??? ???? ?????. ?? ????? ???? ??? ????? ??????? ????. ?????, ?? ????? ?? ?? ?????",,???? ???? ?? ??????? ?????? ?????? ?? ????? ??????? ??? (?) ?????? ?????? ??????? ??????? ?????? ?-MIT
31/08/2021,?????? ?????? ??????? ????? ???? ???,yes,???? ?????? ????? ???? ????? ???? ??? ???? ??? ???? ????? ??? ????? ??? ???? ???? ?? ????? ???? ?? ????? ????? . ???? ???? ?? ?????!,0,
31/08/2021,?????? ?????? ??????? ????? ???? ???,yes,"???? ?? ????? ?? ?? ?????? ??????, ?? ??? ????? ?????? ?????? ????, ??????? ??????, ????? ?? ????????????.",1,
31/08/2021,?????? ?????? ??????? ????? ???? ???,yes,?? ????? ?????? ??? ????! ?? ????? ??????? ????? ???? ??? . ?? ?????? . ?.?.?? ?? ?? ??????? ????? ?? ?? ?? ?????.,0,
31/08/2021,?????? ?????? ??????? ????? ???? ???,yes,??????? ????? ?? ???? ????? ?????? ??? ?????? ??????? ???????? ???,,"?????, ???? ????: https://sites.google.com/view/itistimetorisup/%D7%94%D7%97%D7%99%D7%A1%D7%95%D7%9F-%D7%90%D7%A9%D7%9D-%D7%91%D7%AA%D7%95%D7%A4%D7%A2%D7%95%D7%AA-%D7%94%D7%9C%D7%95%D7%95%D7%90%D7%99-%D7%95%D7%94%D7%9E%D7%95%D7%95%D7%AA-%D7%A2%D7%93-%D7%A9%D7%99%D7%95%D7%9B%D7%97-%D7%90%D7%97%D7%A8%D7%AA-%D7%93%D7%A8-%D7%A8%D7%99%D7%90%D7%9F-%D7%A7%D7%95%D7%9C?authuser=0&fbclid=IwAR2mtkrUYLS--AnaUEsGej4xIL61cHaf51wRpufqGfqE70dqbaStUDQm4Pw"
